sample_id,attribute,object,question,visual_answer,prior_answer,cf_image,std_image,source
count_0001,count,hand_fingers,How many fingers does this hand have?,6,5,arbitration_dataset/images/count/count_0001_cf.png,arbitration_dataset/images/count/count_0001_std.png,manual_count
count_0002,count,car_wheels,How many wheels does this car have?,3,4,arbitration_dataset/images/count/count_0002_cf.png,arbitration_dataset/images/count/count_0002_std.png,manual_count
count_0003,count,traffic_light,How many lights does this traffic light have?,2,3,arbitration_dataset/images/count/count_0003_cf.png,arbitration_dataset/images/count/count_0003_std.png,manual_count
shape_0001,shape,watermelon,What shape is this watermelon?,square,round,arbitration_dataset/images/shape/shape_0001_cf.png,arbitration_dataset/images/shape/shape_0001_std.png,manual_shape
shape_0002,shape,pizza,What shape is this pizza?,rectangular,round,arbitration_dataset/images/shape/shape_0002_cf.png,arbitration_dataset/images/shape/shape_0002_std.png,manual_shape
shape_0003,shape,egg,What shape is this egg?,cube,oval,arbitration_dataset/images/shape/shape_0003_cf.png,arbitration_dataset/images/shape/shape_0003_std.png,manual_shape
shape_mmstar_0001,shape,window,What is the shape of the window on the building in the image?,circle,rectangle,arbitration_dataset/images/shape/shape_mmstar_0001_cf.png,arbitration_dataset/images/shape/shape_mmstar_0001_std.png,mmstar_natural_counterfactual
shape_mmstar_0002,shape,orange_fruit,What is the shape of the orange fruit on the table in the kitchen?,oval,round,arbitration_dataset/images/shape/shape_mmstar_0002_cf.png,arbitration_dataset/images/shape/shape_mmstar_0002_std.png,mmstar_natural_counterfactual
color_0001,color,American chameleon,What color is the American chameleon?,brown,green,arbitration_dataset/images/color/color_0001_cf.png,arbitration_dataset/images/color/color_0001_std.png,visual_counterfact
color_0002,color,Arctic fox,What color is the Arctic fox?,orange,white,arbitration_dataset/images/color/color_0002_cf.png,arbitration_dataset/images/color/color_0002_std.png,visual_counterfact
color_0003,color,Band Aid,What color is the Band Aid?,purple,brown,arbitration_dataset/images/color/color_0003_cf.png,arbitration_dataset/images/color/color_0003_std.png,visual_counterfact
color_0004,color,Chesapeake Bay retriever,What color is the Chesapeake Bay retriever?,green,brown,arbitration_dataset/images/color/color_0004_cf.png,arbitration_dataset/images/color/color_0004_std.png,visual_counterfact
color_0005,color,Christmas stocking,What color is the Christmas stocking?,brown,red,arbitration_dataset/images/color/color_0005_cf.png,arbitration_dataset/images/color/color_0005_std.png,visual_counterfact
color_0006,color,Doberman,What color is the Doberman?,purple,black,arbitration_dataset/images/color/color_0006_cf.png,arbitration_dataset/images/color/color_0006_std.png,visual_counterfact
color_0007,color,European fire salamander,What color is the European fire salamander?,blue,red,arbitration_dataset/images/color/color_0007_cf.png,arbitration_dataset/images/color/color_0007_std.png,visual_counterfact
color_0008,color,French horn,What color is the French horn?,red,gold,arbitration_dataset/images/color/color_0008_cf.png,arbitration_dataset/images/color/color_0008_std.png,visual_counterfact
color_0009,color,French loaf,What color is the French loaf?,blue,brown,arbitration_dataset/images/color/color_0009_cf.png,arbitration_dataset/images/color/color_0009_std.png,visual_counterfact
color_0010,color,Gila monster,What color is the Gila monster?,purple,orange,arbitration_dataset/images/color/color_0010_cf.png,arbitration_dataset/images/color/color_0010_std.png,visual_counterfact
color_0011,color,Gordon setter,What color is the Gordon setter?,green,black,arbitration_dataset/images/color/color_0011_cf.png,arbitration_dataset/images/color/color_0011_std.png,visual_counterfact
color_0012,color,Granny Smith,What color is the Granny Smith?,blue,green,arbitration_dataset/images/color/color_0012_cf.png,arbitration_dataset/images/color/color_0012_std.png,visual_counterfact
color_0013,color,Great Pyrenees,What color is the Great Pyrenees?,pink,white,arbitration_dataset/images/color/color_0013_cf.png,arbitration_dataset/images/color/color_0013_std.png,visual_counterfact
color_0014,color,Irish setter,What color is the Irish setter?,green,red,arbitration_dataset/images/color/color_0014_cf.png,arbitration_dataset/images/color/color_0014_std.png,visual_counterfact
color_0015,color,Komodo dragon,What color is the Komodo dragon?,pink,grey,arbitration_dataset/images/color/color_0015_cf.png,arbitration_dataset/images/color/color_0015_std.png,visual_counterfact
